key,key:user-account,firm,highlights,solicitor
# base entity
auditor-01,,,,
# firm - standard variations
auditor-02,,null,"Lorem ipsum dolor sit amet, consectetu",false
auditor-03,,"","Lorem ipsum dolor sit amet, consectetu",false
auditor-04,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetu",false
# firm - no singular values
# highlights - standard variations
auditor-05,,"Lorem ipsum dolor sit amet, consectetu",null,false
auditor-06,,"Lorem ipsum dolor sit amet, consectetu","",false
auditor-07,,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem",false
# highlights - no singular values
# solicitor - standard variations
auditor-08,"","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",null
# solicitor - no singular values
