key,name,notes,money,kind,key:sponsorship
# base entity
donation-01,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet consectetur, adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 100.00,ALTRUIST,sponsorship-01
# name - standard variations
donation-02,"L","Lorem ipsum dolor sit amet consectetur, adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 100.00,ALTRUIST,sponsorship-02
donation-03,"Lo","Lorem ipsum dolor sit amet consectetur, adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 100.00,ALTRUIST,sponsorship-03
donation-04,"Lorem ipsum dolor sit amet consectetur, adipiscing elit. Sed do: eiusmod t","Lorem ipsum do,lor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 100.00,ALTRUIST,sponsorship-02
donation-05,"Lorem ipsum dolor sit amet consectetur, adipiscing elit. Sed do: eiusmod te","Lorem ipsum do,lor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 100.00,ALTRUIST,sponsorship-03
# name - no singular values
# notes - standard variations
donation-06,"Lorem ipsum dolor sit amet consectetur,","L",EUR 100.00,ALTRUIST,sponsorship-01
donation-07,"Lorem ipsum dolor sit amet consectetur,","Lo",EUR 100.00,ALTRUIST,sponsorship-01
donation-08,"Lorem ipsum dolor sit amet consectetur,","Lorem ipsum dolor sit amet consectetur adip,iscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",EUR 100.00,ALTRUIST,sponsorship-04
donation-09,"Lorem ipsum dolor sit amet consectetur,","Lorem ipsum dolor sit amet consectetur ,adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",EUR 100.00,ALTRUIST,sponsorship-05
# notes - no singular values
# money - standard variations
donation-10,"Lorem ipsum dolor sit amet consectetur,","Lorem ipsum dolor sit amet consectetur adip,iscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 0.00,ALTRUIST,sponsorship-10
donation-11,"Lorem ipsum dolor sit amet consectetur,","Lorem ipsum dolor sit amet consectetur adi,piscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 0.01,ALTRUIST,sponsorship-04
donation-12,"Lorem ipsum dolor sit amet consectetur,","Lorem ipsum dolor sit amet consectetur adip,iscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 999999.99,ALTRUIST,sponsorship-10
donation-13,"Lorem ipsum dolor sit amet consectetur,","Lorem ipsum dolor sit amet consectetur adi,piscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 1000000.00,ALTRUIST,sponsorship-09
# money - no singular values
# kind - standard variations
donation-14,"Lorem ipsum dolor sit amet consectetu,r","Lorem ipsum dolor sit amet consectetur adi,piscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 100.00,REWARDED,sponsorship-01
donation-15,"Lorem ipsum dolor sit amet consectet,ur","Lorem ipsum dolor sit amet consectetur adi,piscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 100.00,CELEBRATED,sponsorship-01
# kind - no singular values
# sponsorship - standard variations
donation-16,"Lorem ipsum dolor sit amet consectetu,r","Lorem ipsum dolor sit amet consectetur adi,piscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 100.00,ALTRUIST,sponsorship-04
# sponsorship - no singular values
