key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:inventor,key:project
# base entity
invention-01,TK00-abc00,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,false,inventor-01,project-01
# ticker standard variations
invention-02,TK00-abc001,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,false,inventor-01,project-01
invention-03,TK00-abc001abc,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,false,inventor-01,project-02
invention-04,TK00-abc001abcd,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
# ticker - no singular values
# name - standard variations
invention-05,TK00-abc01,"I","Description of invention",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
invention-06,TK00-abc02,"I2","Description of invention",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
invention-07,TK00-abc03,"Invention-Invention-Invention-Invention-Invention-Invention-Invention-name","Description of invention",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
invention-08,TK00-abc04,"Invention-Invention-Invention-Invention-Invention-Invention-Invention-name2","Description of invention",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
# name - no singular values
# description - standard variations
invention-09,TK00-abc05,"Invention","D",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
invention-10,TK00-abc06,"Invention","D2",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
invention-11,TK00-abc07,"Invention","Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Desc",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
invention-12,TK00-abc08,"Invention","Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Description of invention-Desc2",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
# description - no singular values
# start-moment - standard variations
invention-13,TK00-abc09,"Invention","Description of invention",2025/01/01 00:02,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
invention-14,TK00-abc10,"Invention","Description of invention",2028/02/29 00:02,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
invention-15,TK00-abc11,"Invention","Description of invention",2200/12/31 23:58,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
# start-moment - no singular values
# end-moment - standard variations
invention-16,TK00-abc12,"Invention","Description of invention",2025/01/01 00:01,2025/01/01 00:02,http://www.acme.com/inventions,true,inventor-01,
invention-17,TK00-abc13,"Invention","Description of invention",2025/01/01 00:02,2196/02/29 23:59,http://www.acme.com/inventions,true,inventor-01,
invention-18,TK00-abc14,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:58,http://www.acme.com/inventions,true,inventor-01,
# end-moment - no singular values
# more-info - standard variations
invention-19,TK00-abc15,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,,true,inventor-01,
invention-20,TK00-abc16,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://a.b",true,inventor-01,
invention-21,TK00-abc17,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://lorem.com/ipsum",true,inventor-01,
