key,key:user-account,bio,key-words,licensed
# base entity
inventor-01,user-account-inventor-01,"Bio of inventor",key-word1_key-word2_key-word3,false
# bio - standard variations
inventor-02,user-account-inventor-02,"B",key-word1_key-word2_key-word3,false
inventor-03,user-account-inventor-03,"B2",key-word1_key-word2_key-word3,false
inventor-04,user-account-inventor-04,"Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of invento",key-word1_key-word2_key-word3,false
inventor-05,user-account-inventor-05,"Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor-Bio of inventor",key-word1_key-word2_key-word3,false
# bio - no singular values
# key-words - standard variations
inventor-06,user-account-inventor-06,"Bio of inventor","k",false
inventor-07,user-account-inventor-07,"Bio of inventor","k2",false
inventor-08,user-account-inventor-08,"Bio of inventor","key-word1_key-word2_key-word3_key-word4_key-word5_key-word6_key-word7_key-word8_key-word9_key-word10_key-word11_key-word12_key-word13_key-word14_key-word15_key-word16_key-word17_key-word18_key-word19_key-word20_key-word21_key-word22_key-word23_key-word24",false
inventor-09,user-account-inventor-09,"Bio of inventor","key-word1_key-word2_key-word3_key-word4_key-word5_key-word6_key-word7_key-word8_key-word9_key-word10_key-word11_key-word12_key-word13_key-word14_key-word15_key-word16_key-word17_key-word18_key-word19_key-word20_key-word21_key-word22_key-word23_key-word24-",false
# key-words - no singular values
# licensed - standard variations
inventor-10,user-account-inventor-10,"Bio of inventor","key-word1_key-word2_key-word3",true
# licensed - no singular values
# mismo user - distinto rol
inventor-11,user-account-fundraiser-10,"Bio of inventor","key-word1_key-word2_key-word3",true

