key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:sponsor
# base entity
sponsorship-01,TK00-abc00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,false,sponsor-01
# ticker standard variations
sponsorship-02,TK00-abc001,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,false,sponsor-01
sponsorship-03,TK00-abc001abc,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,false,sponsor-01
sponsorship-04,TK00-abc001abcd,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,false,sponsor-01
# ticker - no singular values
# name - standard variations
sponsorship-05,TK00-abc01,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,true,sponsor-01
sponsorship-06,TK00-abc02,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,true,sponsor-01
sponsorship-07,TK00-abc03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,false,sponsor-01
sponsorship-08,TK00-abc04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,false,sponsor-01
# name - no singular values
# description - standard variations
sponsorship-09,TK00-abc05,"Lorem ipsum dolor sit amet, consectetur",L,2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,true,sponsor-01
sponsorship-10,TK00-abc06,"Lorem ipsum dolor sit amet, consectetur",Lo,2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,true,sponsor-01
sponsorship-11,TK00-abc07,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,true,sponsor-01
sponsorship-12,TK00-abc08,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2025/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,true,sponsor-01
# description - no singular values
# start-moment - standard variations
sponsorship-13,TK00-abc09,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:02,2200/12/31 23:59,http://lorem.com/ipsum,false,sponsor-01
sponsorship-14,TK00-abc10,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2036/01/01 00:01,2200/12/31 23:59,http://lorem.com/ipsum,false,sponsor-01
sponsorship-15,TK00-abc11,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2200/12/31 23:58,2200/12/31 23:59,http://lorem.com/ipsum,false,sponsor-01
# start-moment - no singular values
# end-moment - standard variations
